DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2014,3.38,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2015,1.86,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2016,2.46,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2017,1.81,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2018,1.78,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2019,2.03,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2020,1.83,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2021,2.16,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2022,1.50,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Albania,2023,1.23,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Austria,2013,0.75,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Austria,2014,0.51,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Intentional homicide,Per hundred thousand inhabitants,Austria,2015,0.49,,
